"vintage_date","target_quarter","release_round","days_after_quarter_end","gdp_growth_vintage","recession_vintage","ciss_as_of","pmi_as_of","ciss_last_date","pmi_last_release_date","pmi_months_available","training_observations","training_recessions","ciss_training_mean","ciss_training_sd","pmi_training_mean","pmi_training_sd","prob_recession","lower_95","upper_95","status","error_message"
2017-08-01,"2017-Q2",1,32,0.561155338791841,0,0.0368645976749952,56.6333333333333,2017-06-30,2017-06-26,3,75,9,0.188384871649596,0.184406857223275,52.864,4.37402502220722,0.0015027590446194,8.09294945563553e-06,0.00934070622068961,"ok",
2017-10-31,"2017-Q3",1,31,0.584607521374814,0,0.0069620055242479,56.0333333333333,2017-09-29,2017-09-26,3,76,9,0.186391183834141,0.183996090343709,52.9135964912281,4.36622789188776,0.00227451383765054,1.60916626941745e-05,0.0115460315550172,"ok",
2018-01-30,"2017-Q4",1,30,0.561548325834749,0,0.00476465518677911,57.2,2017-12-29,2017-12-26,3,77,9,0.184060934765181,0.183921780069753,52.9541125541126,4.35195405113476,0.00108908940487523,3.38543014660255e-06,0.00629919187605399,"ok",
2018-05-02,"2018-Q1",1,32,0.415132402969198,0,0.0145863623524315,57.0333333333333,2018-03-30,2018-03-26,3,78,9,0.181762264514176,0.183847898130977,53.008547008547,4.35024815897427,0.00125297629002773,3.76739608128146e-06,0.00712596810589626,"ok",
2018-07-31,"2018-Q2",1,31,0.345810840661653,0,0.0306091998780336,54.7,2018-06-29,2018-06-26,3,79,9,0.179646113853901,0.183631383682322,53.0594936708861,4.34592736255784,0.00473526635288527,7.8124606313419e-05,0.0221314813739743,"ok",
2018-10-30,"2018-Q3",1,30,0.155035219306798,0,0.019197643504814,54.3,2018-09-28,2018-09-26,3,80,10,0.177783152429203,0.183224707699244,53.08,4.32222724790816,0.00312966367932412,2.50408781403157e-05,0.0183478295394012,"ok",
2019-01-11,"2018-Q4",1,11,0.223665793251948,0,0.124687573670441,52.3,2018-12-31,2018-12-26,3,81,9,0.175825306640013,0.182926592690768,53.0950617283951,4.2972669321814,0.021860030241906,0.00157327168214006,0.0724875393806867,"ok",
2019-04-30,"2019-Q1",1,30,0.379021793109668,0,0.0959534018788262,51.5,2019-03-29,2019-03-26,3,82,10,0.17520167575014,0.181881600401711,53.0853658536585,4.27156064989842,0.0263145348670533,0.00189902914700427,0.0964426954656194,"ok",
2019-07-31,"2019-Q2",1,31,0.201955271487564,0,0.0465073686265079,51.8333333333333,2019-06-28,2019-06-26,3,83,10,0.174246877269763,0.180978332637882,53.066265060241,4.24899954421253,0.016386706704233,0.000823207781819398,0.0683133281639915,"ok",
2019-10-31,"2019-Q3",1,31,0.187312709607412,0,0.0792486793602793,51.1666666666667,2019-09-30,2019-09-26,3,84,9,0.172726168833533,0.180423931574547,53.0515873015873,4.22546752009419,0.0419122770073625,0.00437020953348691,0.128022990086856,"ok",
2020-01-31,"2019-Q4",1,31,0.0936784108774846,0,0.046583504402364,50.7,2019-12-31,2019-12-26,3,85,9,0.17162643366326,0.179633132502888,53.0294117647059,4.20521348055669,0.0540828093730374,0.00549720304149628,0.167582992989214,"ok",
2020-04-30,"2020-Q1",1,30,-3.8263313068439,0,0.196366270620557,44.2,2020-03-31,2020-03-26,3,86,9,0.170172446113714,0.179081682181165,53.0023255813953,4.18794345055389,0.871896225416012,0.533326393340864,0.992108540680781,"ok",
2020-07-31,"2020-Q2",1,31,-12.109411715062,1,0.364817182414894,31.3333333333333,2020-06-30,2020-06-26,3,87,9,0.170473524556322,0.178059611978341,52.9011494252874,4.26913521211552,0.997726157696355,0.985859523970776,0.999999951537591,"ok",
2020-10-30,"2020-Q3",1,30,12.6660574461363,0,0.129628417262068,52.4,2020-09-30,2020-09-26,3,88,10,0.172681975213806,0.178241397880758,52.6560606060606,4.8272204585207,0.0231236148753622,0.00250727028696747,0.0729830524620498,"ok",
2021-02-02,"2020-Q4",1,33,-0.6975762600686,0,0.0714432832442825,48.1333333333333,2020-12-31,2020-12-26,3,89,10,0.172198227371651,0.177284517946015,52.6531835205992,4.79979144933393,0.193501046816075,0.0366401999677174,0.464926129813946,"ok",
2021-04-30,"2021-Q1",1,30,-0.622965997487668,1,0.013114292003486,49.9333333333333,2021-03-31,2021-03-26,3,90,10,0.171078727992458,0.176605355459904,52.602962962963,4.79647093646003,0.0611468859902801,0.00656137627601434,0.191263642654333,"ok",
2021-07-30,"2021-Q2",1,30,2.02472249889989,0,0.0103871337135271,56.8,2021-06-30,2021-06-26,3,91,12,0.169342855069503,0.176400420357703,52.5736263736264,4.77795223579037,0.00184898309819235,2.07152902751158e-05,0.0104928046813358,"ok",
2021-10-29,"2021-Q3",1,29,2.21131984239484,0,0.0100009464953598,58.4666666666667,2021-09-30,2021-09-26,3,92,12,0.167615075489546,0.176209541474829,52.6195652173913,4.77201383570951,0.0006267574497806,2.90206438219256e-06,0.003998012138158,"ok",
2022-01-31,"2021-Q4",1,31,0.294475667231042,0,0.0455117277858434,54.3,2021-12-31,2021-12-26,3,93,12,0.165920299908964,0.176009730499223,52.6824372759857,4.78458068722903,0.00752423598366405,0.000488602108497296,0.0304065279349162,"ok",
2022-04-29,"2022-Q1",1,29,0.189101044030071,0,0.171451493056781,54.2333333333333,2022-03-31,2022-03-26,3,94,12,0.164639357652335,0.175500853443082,52.6996453900709,4.76171132425142,0.00841539136793899,0.000396239998451376,0.0316876783758015,"ok",
2022-07-29,"2022-Q2",1,29,0.688445751946043,0,0.38421936859953,54.2,2022-06-30,2022-06-26,3,95,11,0.164711064340803,0.174566241335713,52.7157894736842,4.73892847337608,0.0114690111231812,0.000376253882348831,0.0570466850537489,"ok",
2022-10-31,"2022-Q3",1,31,0.183985314769308,0,0.422048667080799,48.9666666666667,2022-09-30,2022-09-26,3,96,11,0.166997609176831,0.175084310691565,52.73125,4.71635405944413,0.254863922689017,0.0580978226508036,0.564216600099463,"ok",
2023-01-31,"2022-Q4",1,31,0.118371541953111,0,0.483664635923476,48.1333333333333,2022-12-30,2022-12-26,3,97,11,0.169627001526356,0.17608471619448,52.692439862543,4.70727004993596,0.353050438910668,0.0893196928863344,0.701625509679377,"ok",
2023-04-28,"2023-Q1",1,28,0.0842817863045298,0,0.188023906861624,52,2023-03-31,2023-03-26,3,98,10,0.17283146718347,0.178023881509947,52.6459183673469,4.70553405593585,0.0253634050315358,0.00243214771254618,0.071728824161139,"ok",
2023-07-31,"2023-Q2",1,31,0.270638549048652,0,0.150025812731127,52.2666666666667,2023-06-30,2023-06-26,3,99,10,0.172984926170118,0.177119849036624,52.6393939393939,4.68191474783982,0.0203184456818381,0.00223401337883833,0.0608496752428541,"ok",
2023-10-31,"2023-Q3",1,31,-0.0918824974039389,0,0.0818075751277615,47.5,2023-09-29,2023-09-26,3,100,10,0.172755335035728,0.176237989349662,52.6356666666667,4.65835781481674,0.250201143218103,0.0551865164040615,0.543744837720938,"ok",
2024-01-30,"2023-Q4",1,30,0.0305406435469724,0,0.105468745064583,47.2333333333333,2023-12-29,2023-12-26,3,101,10,0.171854862165352,0.175587945461896,52.5848184818482,4.66309273802145,0.259377303983712,0.0708859116954256,0.542820231221188,"ok",
2024-04-30,"2024-Q1",1,30,0.332716560251933,0,0.0418351657339184,49.1333333333333,2024-03-29,2024-03-26,3,102,11,0.17120401788005,0.174840141092783,52.5323529411765,4.67010824505319,0.11653228989879,0.023650218738842,0.285691405674421,"ok",
2024-07-31,"2024-Q2",1,31,0.258560797349605,0,0.0291323029062761,51.6,2024-06-28,2024-06-26,3,103,10,0.169948009606787,0.17444731718439,52.4993527508091,4.65921202110092,0.0193265453388975,0.0018677197760323,0.0598608451504527,"ok",
2024-10-30,"2024-Q3",1,30,0.37438320998171,0,0.0863539680323694,50.2666666666667,2024-09-30,2024-09-26,3,104,11,0.168594012426974,0.174146706911953,52.4907051282051,4.63737793881129,0.0614451303807397,0.0147533387808649,0.139756000117109,"ok",
2025-01-30,"2024-Q4",1,30,0.0291195333180783,0,0.0418226797089082,49.3,2024-12-31,2024-12-26,3,105,11,0.167810773908931,0.173493177397006,52.4695238095238,4.62012994758813,0.0908222176199798,0.018954897570012,0.220207117475824,"ok",
2025-05-15,"2025-Q1",1,45,0.329788374059836,0,0.0180870663135409,50.4333333333333,2025-03-31,2025-03-26,3,106,9,0.166622206982515,0.173098129211711,52.4396226415094,4.60837083588184,0.0466646882189653,0.00781633905886958,0.129421307033902,"ok",
2025-07-30,"2025-Q2",1,30,0.105334499843912,0,0.0714056076021962,50.4,2025-06-30,2025-06-26,3,107,10,0.165234028097758,0.172877084156662,52.4208722741433,4.59068084216746,0.0562264834079198,0.0121396470053797,0.135733911530089,"ok",
2025-10-30,"2025-Q3",1,30,0.222079001285702,0,0.0266932433822059,51.0333333333333,2025-09-30,2025-09-26,3,108,11,0.164365246426503,0.172304061713853,52.4021604938272,4.57331478963241,0.0520669052445071,0.0104661615654911,0.124741408188638,"ok",
2026-01-30,"2025-Q4",1,30,0.334193031029573,0,0.0335761303459994,52.2666666666667,2025-12-31,2025-12-26,3,109,11,0.163102200527014,0.172010698699724,52.3896024464832,4.55398052548493,0.0280097900376261,0.00396687354735242,0.0817700026405315,"ok",
2026-05-13,"2026-Q1",1,43,0.145795873349397,0,0.0359603195188705,51.3,2026-03-31,2026-03-26,3,110,11,0.161924690798096,0.171664650016139,52.3884848484849,4.53305772764407,0.0444398102436825,0.0094482724787692,0.112518514418431,"ok",
