"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","pmi_latest","ciss_last_date_latest","pmi_last_release_date_latest","pmi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest","real_time_vintage_date","real_time_release_round","days_after_quarter_end","gdp_growth_real_time","recession_real_time","ciss_real_time","pmi_real_time","ciss_last_date_real_time","pmi_last_release_date_real_time","pmi_months_available_real_time","training_observations_real_time","training_recessions_real_time","prob_recession_real_time","lower_95_real_time","upper_95_real_time","growth_revision","classification_revised","probability_revision","absolute_probability_revision"
"2003-Q1",2026-05-13,-0.27038219352854,0,0.130463123713317,49.7333333333333,2003-03-31,2003-03-26,3,0.0966532759842206,0.0323695780210988,0.194305300580404,,,,,,,,,,,,,,,,,,,
"2003-Q2",2026-05-13,0.0513562855317229,0,0.136865956030598,48.2666666666667,2003-06-30,2003-06-26,3,0.196583502768576,0.0749511686083883,0.360569056075527,,,,,,,,,,,,,,,,,,,
"2003-Q3",2026-05-13,0.651132503867524,0,0.0554695993662738,51.2666666666667,2003-09-30,2003-09-26,3,0.0438672658250751,0.00919198917654707,0.110893303953138,,,,,,,,,,,,,,,,,,,
"2003-Q4",2026-05-13,0.639856929113747,0,0.0403070996717277,55.6333333333333,2003-12-31,2003-12-26,3,0.00532195288220602,0.000246794925689785,0.0224708837503151,,,,,,,,,,,,,,,,,,,
"2004-Q1",2026-05-13,0.518370519983424,0,0.0193864267536359,55.3666666666667,2004-03-31,2004-03-26,3,0.00594057261465089,0.000297161719170369,0.0239878629405799,,,,,,,,,,,,,,,,,,,
"2004-Q2",2026-05-13,0.62254034044058,0,0.0293266633865033,55.5,2004-06-30,2004-06-26,3,0.00561790789287228,0.000267339260064289,0.0229533159502257,,,,,,,,,,,,,,,,,,,
"2004-Q3",2026-05-13,0.22495378450802,0,0.051034824333343,54.9666666666667,2004-09-30,2004-09-26,3,0.00723555589955448,0.000441896192606254,0.0276153912557488,,,,,,,,,,,,,,,,,,,
"2004-Q4",2026-05-13,0.444912863187907,0,0.0315937514388749,52.6333333333333,2004-12-31,2004-12-26,3,0.0219514328050411,0.00311611178554014,0.0624177783293209,,,,,,,,,,,,,,,,,,,
"2005-Q1",2026-05-13,0.269891416475909,0,0.0286379660034678,53,2005-03-31,2005-03-26,3,0.0182963118522513,0.00230279444067633,0.0545335577075427,,,,,,,,,,,,,,,,,,,
"2005-Q2",2026-05-13,0.616725876759672,0,0.0399227790981491,52.0666666666667,2005-06-30,2005-06-26,3,0.0291895496681516,0.00483865419383367,0.0783807261613828,,,,,,,,,,,,,,,,,,,
"2005-Q3",2026-05-13,0.744640432452526,0,0.0303397985648732,53.4333333333333,2005-09-30,2005-09-26,3,0.0148029988481638,0.00160028619670875,0.0463373880959481,,,,,,,,,,,,,,,,,,,
"2005-Q4",2026-05-13,0.697829494921653,0,0.0165046467752521,55.4,2005-12-30,2005-12-26,3,0.00584429762541812,0.000287369553419863,0.0237792238163237,,,,,,,,,,,,,,,,,,,
"2006-Q1",2026-05-13,0.942524998224581,0,0.0269459682740681,57.6,2006-03-31,2006-03-26,3,0.00226144173979018,4.36693246559156e-05,0.0121993297674423,,,,,,,,,,,,,,,,,,,
"2006-Q2",2026-05-13,1.09992664853515,0,0.0419565124116522,59.3666666666667,2006-06-30,2006-06-26,3,0.00113280071268693,9.82015790589478e-06,0.00689300989477948,,,,,,,,,,,,,,,,,,,
"2006-Q3",2026-05-13,0.54494088632866,0,0.0248967089929023,57.8666666666667,2006-09-29,2006-09-26,3,0.00202268371413148,3.44029975051301e-05,0.0110532466061274,,,,,,,,,,,,,,,,,,,
"2006-Q4",2026-05-13,1.16940652119666,0,0.00654996093734031,57.4666666666667,2006-12-29,2006-12-26,3,0.0023571449950883,4.87449700807598e-05,0.012639496784831,,,,,,,,,,,,,,,,,,,
"2007-Q1",2026-05-13,0.700389157321291,0,0.0303958565839606,57.5333333333333,2007-03-30,2007-03-26,3,0.0023309520729361,4.65972964957893e-05,0.0125033115340523,,,,,,,,,,,,,,,,,,,
"2007-Q2",2026-05-13,0.671767026981951,0,0.00689482675996685,57.1666666666667,2007-06-29,2007-06-26,3,0.00267596749421597,6.37469396793458e-05,0.0138313632781353,,,,,,,,,,,,,,,,,,,
"2007-Q3",2026-05-13,0.38617287274354,0,0.152461391544887,56.5333333333333,2007-09-28,2007-09-26,3,0.00398581289891859,0.000115494955114661,0.0190721881142931,,,,,,,,,,,,,,,,,,,
"2007-Q4",2026-05-13,0.508341050968353,0,0.167653341561399,54.0333333333333,2007-12-31,2007-12-26,3,0.0120968206185282,0.00105933345392513,0.0416501625426693,,,,,,,,,,,,,,,,,,,
"2008-Q1",2026-05-13,0.641938527679087,0,0.429018701931111,52.1333333333333,2008-03-31,2008-03-26,3,0.0417097200881296,0.00312591816892933,0.154173174048259,,,,,,,,,,,,,,,,,,,
"2008-Q2",2026-05-13,-0.488552541263909,0,0.341197172882941,50.7666666666667,2008-06-30,2008-06-26,3,0.0681439637282998,0.01267924120832,0.174733291180267,,,,,,,,,,,,,,,,,,,
"2008-Q3",2026-05-13,-0.545272975863109,1,0.396136097023361,47.6333333333333,2008-09-30,2008-09-26,3,0.287373829608409,0.098207988544144,0.539998179194244,,,,,,,,,,,,,,,,,,,
"2008-Q4",2026-05-13,-1.72198635030273,1,0.900654255991352,40.2333333333333,2008-12-31,2008-12-26,3,0.925830752490646,0.585723111277616,0.999155526652733,,,,,,,,,,,,,,,,,,,
"2009-Q1",2026-05-13,-3.06501042136363,1,0.856287651668829,37.6,2009-03-31,2009-03-26,3,0.975771993900716,0.830636984010098,0.999874153371021,,,,,,,,,,,,,,,,,,,
"2009-Q2",2026-05-13,0.0029292063414621,0,0.630239149763181,43.2333333333333,2009-06-30,2009-06-26,3,0.795364581708,0.401587573048223,0.981487314974349,,,,,,,,,,,,,,,,,,,
"2009-Q3",2026-05-13,0.35773556748504,0,0.390394442865016,49.5,2009-09-30,2009-09-26,3,0.129769244748198,0.0288703403537122,0.307036831417756,,,,,,,,,,,,,,,,,,,
"2009-Q4",2026-05-13,0.443551936290976,0,0.334576736398091,53.6333333333333,2009-12-31,2009-12-26,3,0.0181172157215462,0.00118969495250752,0.0691625189631396,,,,,,,,,,,,,,,,,,,
"2010-Q1",2026-05-13,0.390780800145829,0,0.203744641986708,54.4333333333333,2010-03-31,2010-03-26,3,0.0104985974455455,0.000746544584540456,0.0385610785205392,,,,,,,,,,,,,,,,,,,
"2010-Q2",2026-05-13,0.930919346442005,0,0.392883117665418,56.5666666666667,2010-06-30,2010-06-26,3,0.00602969283223129,7.81917437486775e-05,0.0338193866393085,,,,,,,,,,,,,,,,,,,
"2010-Q3",2026-05-13,0.443693431571379,0,0.399729474237953,55.6666666666667,2010-09-30,2010-09-26,3,0.00874410566799627,0.000171480607523809,0.0445578127720798,,,,,,,,,,,,,,,,,,,
"2010-Q4",2026-05-13,0.593409783269339,0,0.308535515839103,54.9333333333333,2010-12-31,2010-12-26,3,0.00986020924135221,0.000433014946604176,0.0421074582389026,,,,,,,,,,,,,,,,,,,
"2011-Q1",2026-05-13,0.950557519376805,0,0.20429687961146,57.6,2011-03-31,2011-03-26,3,0.00278270604193795,4.42351928810288e-05,0.0142805201635766,,,,,,,,,,,,,,,,,,,
