"vintage_date","target_quarter","release_round","days_after_quarter_end","gdp_growth_vintage","recession_vintage","ciss_as_of","esi_as_of","ciss_last_date","esi_last_release_date","esi_months_available","training_observations","training_recessions","ciss_training_mean","ciss_training_sd","esi_training_mean","esi_training_sd","prob_recession","lower_95","upper_95","status","error_message"
2019-01-11,"2018-Q4",1,11,0.223665793251948,0,0.124687573670441,110.1,2018-12-31,2018-12-29,3,83,9,0.171945589968775,0.182383346447754,101.072289156627,9.92455253751223,0.00169621657151715,6.09127917284981e-06,0.0100861962015346,"ok",
2019-04-30,"2019-Q1",1,30,0.379021793109668,0,0.0959534018788262,106.933333333333,2019-03-29,2019-03-29,3,84,10,0.171382994536652,0.181354638528174,101.179761904762,9.91364051273396,0.00301096444636543,3.15224722773298e-05,0.0150564881494444,"ok",
2019-07-31,"2019-Q2",1,31,0.201955271487564,0,0.0465073686265079,104.7,2019-06-28,2019-06-29,3,85,10,0.170495587564207,0.180457474040149,101.247450980392,9.87419459775066,0.00417302457300638,8.64584150650528e-05,0.0196198087642785,"ok",
2019-10-31,"2019-Q3",1,31,0.187312709607412,0,0.0792486793602793,102.633333333333,2019-09-30,2019-09-29,3,86,9,0.169053864088187,0.179890356031381,101.287596899225,9.82299695560609,0.00843515830439099,0.000225809441430759,0.0332943342894229,"ok",
2020-01-31,"2019-Q4",1,31,0.0936784108774846,0,0.046583504402364,102.8,2019-12-31,2019-12-29,3,87,9,0.168021620585568,0.179100406645131,101.3030651341,9.76678523644712,0.00839068033210148,0.000200135673753422,0.0360458857428496,"ok",
2020-04-30,"2020-Q1",1,30,-3.8263313068439,0,0.196366270620557,101.433333333333,2020-03-31,2020-03-29,3,88,9,0.166641641992577,0.178538054826925,101.320075757576,9.7118031173337,0.0147879078356365,0.000976339777120108,0.0555136825982226,"ok",
2020-07-31,"2020-Q2",1,31,-12.109411715062,1,0.364817182414894,65.1,2020-06-30,2020-06-29,3,89,9,0.166975626583902,0.177548695203961,101.321348314607,9.65647222007845,0.993498881116092,0.946573365420134,0.999998852960145,"ok",
2020-10-30,"2020-Q3",1,30,12.6660574461363,0,0.129628417262068,89.3333333333333,2020-09-30,2020-09-29,3,90,10,0.169173866093136,0.177775828570463,100.918888888889,10.3333128548788,0.305481080747864,0.0929795769733415,0.592170521495285,"ok",
2021-02-02,"2020-Q4",1,33,-0.6975762600686,0,0.0714432832442825,94.7,2020-12-31,2020-12-29,3,91,10,0.168739300721366,0.176834023949923,100.791575091575,10.3472673000141,0.0648509915864413,0.0100559872061568,0.175632492312243,"ok",
2021-04-30,"2021-Q1",1,30,-0.622965997487668,1,0.013114292003486,99.0333333333333,2021-03-31,2021-03-29,3,92,10,0.167681735314006,0.176152035372155,100.725362318841,10.3098366552295,0.0174098816014945,0.00119651529009505,0.064502424645944,"ok",
