"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","esi_latest","ciss_last_date_latest","esi_last_release_date_latest","esi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest"
"2001-Q3",2026-05-13,0.21236907497213,0,0.166768892052641,99.5,2001-09-28,2001-09-29,3,0.0484337786604263,0.0139650495395934,0.10266704483239
"2001-Q4",2026-05-13,-0.0554168893680762,0,0.177355048413404,92.3666666666667,2001-12-31,2001-12-29,3,0.147860029465169,0.0647573280417564,0.27405762130763
"2002-Q1",2026-05-13,0.225114545518323,0,0.0990823357470997,97.1,2002-03-29,2002-03-29,3,0.063458428495576,0.0215347493599256,0.132972915125221
"2002-Q2",2026-05-13,0.465083124456878,0,0.0455625164710321,97.4,2002-06-28,2002-06-29,3,0.0565645302145008,0.0163852813469936,0.131093419178624
"2002-Q3",2026-05-13,0.459880145578606,0,0.119179424104307,94.0666666666667,2002-09-30,2002-09-29,3,0.105376819498642,0.0405734904155221,0.210666631996299
"2002-Q4",2026-05-13,0.186471650707931,0,0.137036904603903,92.2333333333333,2002-12-31,2002-12-29,3,0.143166064207627,0.0577542523861283,0.275902100436526
"2003-Q1",2026-05-13,-0.27038219352854,0,0.130463123713317,91.7333333333333,2003-03-31,2003-03-29,3,0.153203207197522,0.0600196524802344,0.300628572436451
"2003-Q2",2026-05-13,0.0513562855317229,0,0.136865956030598,91.4333333333333,2003-06-30,2003-06-29,3,0.161495655035558,0.0636547897162771,0.314901002625828
"2003-Q3",2026-05-13,0.651132503867524,0,0.0554695993662738,94.2333333333333,2003-09-30,2003-09-29,3,0.0952704347129658,0.029993205170657,0.212716141287482
"2003-Q4",2026-05-13,0.639856929113747,0,0.0403070996717277,98.2666666666667,2003-12-31,2003-12-29,3,0.0488945625581043,0.0134162606812786,0.113991687860481
"2004-Q1",2026-05-13,0.518370519983424,0,0.0193864267536359,98.9333333333333,2004-03-31,2004-03-29,3,0.0428815755638221,0.0105709129082094,0.105043384295268
"2004-Q2",2026-05-13,0.62254034044058,0,0.0293266633865033,100.033333333333,2004-06-30,2004-06-29,3,0.036373220831204,0.00862222614482624,0.0875672325033758
